======================================================================
ARM A: JOINT self-play, V2V prior, 312 updates (matches W5 budget)
======================================================================
  [jointV2V] steps=   63,824 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   64,032 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   64,240 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   64,448 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   64,656 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   64,864 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   65,072 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   65,280 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   65,488 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   65,696 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   65,904 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   66,112 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   66,320 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   66,528 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   66,736 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   66,944 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   67,152 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   67,360 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   67,568 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   67,776 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   67,984 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   68,192 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   68,400 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   68,608 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   68,816 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   69,024 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   69,232 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   69,440 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   69,648 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   69,856 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   70,064 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   70,272 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   70,480 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   70,688 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   70,896 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   71,104 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   71,312 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   71,520 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   71,728 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   71,936 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   72,144 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   72,352 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   72,560 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   72,768 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   72,976 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   73,184 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   73,392 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   73,600 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   73,808 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   74,016 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   74,224 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   74,432 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   74,640 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   74,848 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   75,056 ret=     0.0 coll=  0.0%
